input,output
20107,30105
20119,30114
20120,30117
20213,30111
20215,30112
20219,30116
20225,30123
20310,30108
20416,30118
20506,30104
20511,30110
20516,30115
20602,30102
20627,30106
20717,30119
20723,30124
20724,30126
20726,30127
20816,30109
20821,30113
20921,30120
20925,30122
21001,30101
21007,30103
21011,30107
21023,30121
21026,30125
20103,30205
20111,30210
20124,30224
20204,30207
20301,30201
20303,30203
20317,30218
20323,30227
20407,30209
20412,30217
20429,30225
20520,30222
20523,30226
20610,30212
20613,30216
20701,30206
20703,30208
20716,30219
20819,30215
20824,30220
20825,30221
20910,30211
20911,30213
20913,30214
20923,30223
20315,30214
21006,30204
20106,30306
20202,30302
20205,30303
20216,30312
20307,30304
20320,30320
20322,30321
20405,30309
20417,30318
20423,30326
20426,30327
20504,30305
20616,30314
20623,30325
20707,30310
20715,30315
20803,30301
20818,30311
20903,30307
20916,30316
20918,30317
20924,30319
20926,30324
21009,30308
21018,30313
21024,30322
21025,30323
20101,30401
20110,30407
20113,30410
20117,30414
20125,30420
20218,30417
20324,30425
20327,30426
20406,30408
20420,30422
20422,30423
20503,30402
20510,30409
20514,30413
20517,30418
20524,30424
20612,30411
20615,30412
20621,30419
20712,30415
20722,30421
20813,30406
20822,30416
20902,30403
21010,30404
21012,30405
20211,30512
20228,30505
20302,30502
20309,30508
20312,30513
20421,30525
20509,30509
20519,30520
20522,30523
20601,30501
20609,30507
20614,30514
20618,30517
20622,30524
20626,30527
20628,30519
207'08,30506
20714,30516
20815,30510
20823,30518
20907,30511
20920,30522
20927,30526
21004,30503
21005,30504
21019,30515
21022,30521
20112,30609
20126,30626
20212,30610
20217,30615
20224,30624
20226,30625
20311,30611
20319,30622
20321,30623
20328,30603
20410,30614
20413,30617
20414,30619
20415,30620
20428,30616
20508,30606
20513,30613
20521,30621
20606,30604
20709,30608
20711,30612
20728,30627
20805,30601
20901,30602
20904,30605
20917,30618
21014,30607
20102,30701
20109,30706
20127,30707
20210,30708
20220,30720
20222,30722
20227,30710
21003,30202
20316,30719
20318,30724
20418,30723
20515,30716
20617,30717
20624,30725
20704,30704
20705,30705
20713,30715
20727,30727
20806,30702
20807,30703
20814,30709
20820,30713
20914,30718
20919,30721
21016,30711
21017,30712
